City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
283,Quang Ngai,VN,15.1167,108.8,66.09,91,97,7.18,overcast clouds
284,Wanaka,NZ,-44.7,169.15,54.1,81,98,1.99,overcast clouds
285,Virginia Beach,US,36.8529,-75.978,56.01,65,75,9.22,broken clouds
286,Grootfontein,NA,-19.5667,18.1167,72.97,46,65,3.44,broken clouds
287,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,24,0,27.63,clear sky
288,Yinchuan,CN,38.4681,106.2731,41.65,69,100,5.97,overcast clouds
289,Tumut,AU,-35.3,148.2167,56.77,58,11,3.0,few clouds
290,Tautira,PF,-17.7333,-149.15,82.06,72,18,15.28,few clouds
291,Vila Velha,BR,-20.3297,-40.2925,85.95,71,0,14.97,clear sky
292,Dingle,PH,10.9995,122.6711,76.3,86,57,14.14,broken clouds
293,Katsuura,JP,35.1333,140.3,41.27,51,0,12.44,clear sky
294,Uturoa,PF,-16.7333,-151.4333,82.26,73,16,11.63,light rain
295,Ballina,AU,-28.8667,153.5667,65.01,99,100,5.79,overcast clouds
296,Harnosand,SE,62.6323,17.9379,33.8,90,100,9.04,overcast clouds
297,Ostersund,SE,63.1792,14.6357,37.62,93,75,18.41,broken clouds
298,Santa Cruz Del Sur,CU,20.7147,-77.9956,86.18,39,0,4.32,moderate rain
299,Cabo Rojo,PR,18.0866,-67.1457,84.43,60,9,3.71,clear sky
300,Pont-Audemer,FR,49.35,0.5167,38.32,65,3,12.66,clear sky
301,Manoel Urbano,BR,-8.8389,-69.2597,88.75,56,100,3.44,overcast clouds
302,Houston,US,29.7633,-95.3633,84.42,56,20,26.46,few clouds
303,Merauke,ID,-8.4667,140.3333,79.09,87,100,9.62,overcast clouds
304,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,94,100,2.3,light intensity drizzle rain
305,Sembakung,ID,3.8167,117.25,72.86,98,100,2.08,overcast clouds
306,Karasjok,NO,69.4719,25.5112,29.88,98,100,8.72,light snow
307,Masalli,KR,34.7959,126.6553,28.08,56,0,3.53,clear sky
308,Kirakira,SB,-10.4544,161.9205,80.08,85,89,5.44,overcast clouds
309,Lompoc,US,34.6391,-120.4579,55.92,62,100,8.05,overcast clouds
310,Aksu,CN,41.1231,80.2644,41.43,44,100,4.45,overcast clouds
311,Sydney,AU,-33.8679,151.2073,70.9,87,20,18.41,few clouds
312,Wagar,SD,16.1525,36.2032,80.92,44,1,13.69,clear sky
313,Mbanza-Ngungu,CD,-5.25,14.8667,71.02,94,100,2.59,overcast clouds
314,San Luis,AR,-33.295,-66.3356,84.42,20,89,11.56,overcast clouds
315,Pangnirtung,CA,66.1451,-65.7125,-22.0,69,40,2.3,scattered clouds
316,Kuminskiy,RU,58.6667,66.5667,14.5,99,98,5.08,overcast clouds
317,Elin Pelin,BG,42.6667,23.6,52.38,54,0,5.75,clear sky
318,Bereznik,RU,62.8551,42.7072,18.14,94,100,8.88,light snow
319,Inuvik,CA,68.3499,-133.7218,0.46,81,75,6.91,broken clouds
320,Quelimane,MZ,-17.8786,36.8883,76.95,94,75,3.44,thunderstorm with rain
321,Lodja,CD,-3.4833,23.4333,72.41,83,100,2.08,overcast clouds
322,Ambajogai,IN,18.7333,76.3833,75.9,18,0,2.73,clear sky
323,Geraldton,AU,-28.7667,114.6,75.61,53,100,4.61,overcast clouds
324,Chumphon,TH,10.3333,98.8333,66.15,86,34,2.59,scattered clouds
325,Norsup,VU,-16.0667,167.3833,81.41,84,97,8.32,overcast clouds
326,Cabedelo,BR,-6.9811,-34.8339,86.67,69,5,9.89,clear sky
327,Shillong,IN,25.5689,91.8831,49.39,56,0,1.88,clear sky
328,Gurupa,BR,-1.405,-51.64,81.48,86,93,1.77,overcast clouds
329,Dongsheng,CN,39.8161,109.9776,31.57,89,70,14.12,broken clouds
330,Sidi Bin Nur,TN,35.5333,10.9167,58.91,48,89,13.06,overcast clouds
331,Turan,VN,16.0678,108.2208,71.58,73,75,5.75,broken clouds
332,Linxia,CN,35.6003,103.2064,36.48,82,8,0.83,clear sky
333,Teluk Nibung,ID,3.001,99.8164,73.69,90,100,4.34,light rain
334,Iquique,CL,-20.2208,-70.1431,77.04,73,98,7.78,overcast clouds
335,Pandan,PH,14.0453,124.1694,76.75,86,87,23.82,overcast clouds
336,Mae Chan,TH,20.1467,99.8526,65.86,72,7,0.94,clear sky
337,Madina,GH,5.6823,-0.1641,83.62,74,100,11.7,overcast clouds
338,Mackenzie,CA,55.2999,-123.1698,8.82,72,100,6.91,light snow
339,Aksha,RU,50.2814,113.2867,23.29,80,100,11.14,overcast clouds
340,Namatanai,PG,-3.6667,152.4333,79.57,82,100,5.68,light rain
341,Longyearbyen,SJ,78.2186,15.6401,28.24,64,75,32.21,light snow
342,Surin,TH,14.8818,103.4936,60.8,71,13,12.73,few clouds
343,Policoro,IT,40.2115,16.6726,55.98,62,100,11.99,overcast clouds
344,Port Blair,IN,11.6667,92.75,80.17,69,97,11.74,overcast clouds
345,Saint-Georges,GD,12.0564,-61.7485,82.08,65,20,18.41,few clouds
346,Sagua La Grande,CU,22.8067,-80.0756,83.39,40,0,11.79,clear sky
347,Sao Desiderio,BR,-12.3633,-44.9733,83.82,52,97,2.53,overcast clouds
348,Ugoofaaru,MV,5.6667,73.0,80.02,74,5,8.97,clear sky
349,Glace Bay,CA,46.1969,-59.957,19.78,66,75,10.36,broken clouds
350,Hukuntsi,BW,-24.0,21.75,86.54,20,55,4.94,broken clouds
351,Hoquiam,US,46.9809,-123.8893,47.01,64,20,17.27,few clouds
352,Astana,KZ,51.1801,71.446,6.75,78,0,6.71,clear sky
353,Sembe,CG,1.6481,14.5806,76.68,66,44,3.98,scattered clouds
354,Shediac,CA,46.2198,-64.5411,21.09,38,40,3.44,scattered clouds
355,Jacareacanga,BR,-6.2222,-57.7528,86.65,64,98,4.76,overcast clouds
356,Okhotsk,RU,59.3833,143.3,-1.48,99,100,3.78,overcast clouds
357,Noumea,NC,-22.2763,166.4572,78.01,99,100,11.63,overcast clouds
358,Mecca,SA,21.4267,39.8261,73.49,48,0,6.13,clear sky
359,Cockburn Town,TC,21.4612,-71.1419,76.96,57,40,6.91,scattered clouds
360,Marawi,PH,7.9986,124.2928,67.15,94,90,1.34,overcast clouds
361,Tual,ID,-5.6667,132.75,82.99,78,99,14.18,overcast clouds
362,Veselynove,UA,47.3567,31.2349,41.79,87,100,10.56,overcast clouds
363,Vostok,RU,46.4856,135.8833,2.73,96,13,6.44,few clouds
364,Qasigiannguit,GL,68.8193,-51.1922,8.85,100,96,4.76,overcast clouds
365,Inta,RU,66.0317,60.1659,-6.61,95,15,4.81,few clouds
366,Xining,CN,36.6167,101.7667,33.31,45,58,1.77,broken clouds
367,Minatitlan,MX,17.9833,-94.5167,84.58,60,0,8.79,clear sky
368,Takoradi,GH,4.8845,-1.7554,82.63,81,97,11.52,overcast clouds
369,Luckenwalde,DE,52.0833,13.1667,33.73,75,5,1.99,clear sky
370,Gravdal,NO,68.1214,13.5031,41.34,94,100,15.48,light rain
371,College,US,64.8569,-147.8028,0.07,79,100,4.61,mist
372,Palmerston,AU,-12.486,130.9833,79.88,96,100,14.97,light intensity shower rain
